Total price,Montly installment,Year.Car.Model,Used.Transmission,Seller Name,Seller location,transmission,milage (Thousands),year,manufacturer,model,extra
69999.0,1387.0,2014 Ford Figo 1.4 Ambiente,Used Car47 000 kmManual,DND CARS,"Bramley, Johannesburg",Manual,47.0,2014,Ford,Figo,"['1.4', 'Ambiente']"
69999.0,1387.0,2015 Datsun Go 1.2 Mid,Used Car66 000 kmManual,SMART CARS JHB,"Bezuidenhout Valley, Johannesburg",Manual,66.0,2015,Datsun,Go,"['1.2', 'Mid']"
69999.0,1387.0,2013 Nissan NP200 1.6 16v High,Used Car58 000 kmManual,SMART CARS JHB,"Bezuidenhout Valley, Johannesburg",Manual,58.0,2013,Nissan,NP200,"['1.6', '16v', 'High']"
69995.0,1387.0,2012 Chevrolet Spark 1.2 L,Used Car75 000 kmManual,DE REV AUTOS,"Kew Industrial, Johannesburg",Manual,75.0,2012,Chevrolet,Spark,"['1.2', 'L']"
69995.0,1387.0,2012 Chery Tiggo 2.0 TXE,Used Car129 000 kmManual,DE REV AUTOS,"Kew Industrial, Johannesburg",Manual,129.0,2012,Chery,Tiggo,"['2.0', 'TXE']"
69900.0,1385.0,2013 Nissan Tiida Hatch 1.6 Visia+,Used Car211 000 kmManual,MOTORCADE CC,"Pretoria Central, Pretoria",Manual,211.0,2013,Nissan,Tiida,"['Hatch', '1.6', 'Visia+']"
69900.0,1385.0,2015 Renault Sandero 66kW Turbo Expression,Used Car121 700 kmManual,RIGHT CARS,"North Riding, Randburg",Manual,121.7,2015,Renault,Sandero,"['66kW', 'Turbo', 'Expression']"
69900.0,1385.0,2015 Nissan NP200 1.6i,Used Car203 000 kmManual,RIFLE RANGE CAR SALES,"Rosettenville, Johannesburg",Manual,203.0,2015,Nissan,NP200,['1.6i']
69900.0,1385.0,2015 Nissan NP200 1.6i,Used Car172 000 kmManual,RIFLE RANGE CAR SALES,"Rosettenville, Johannesburg",Manual,172.0,2015,Nissan,NP200,['1.6i']
69900.0,1385.0,2017 Chevrolet Utility 1.4,Used Car305 205 kmManual,CMH EAST RAND,"Beyers Park, Boksburg",Manual,305.205,2017,Chevrolet,Utility,['1.4']
69700.0,1381.0,2012 Peugeot 207 1.4 Active,Used Car114 300 kmManual,Southgate Wheels,"Florida North, Roodepoort",Manual,114.3,2012,Peugeot,207,"['1.4', 'Active']"
69700.0,1381.0,2015 Chevrolet Cruze Sedan 1.6 L,Used Car156 071 kmManual,Southgate Wheels,"Florida North, Roodepoort",Manual,156.071,2015,Chevrolet,Cruze,"['Sedan', '1.6', 'L']"
